code,name,1,2,3,4,5,6,7,8,9,10,mean,sdev,type
E07000066,Basildon,10.91,12.73,18.18,9.09,5.45,6.36,8.18,5.45,10,13.64,4.7,3.1061,ushape
E07000067,Braintree,0,2.3,4.6,8.05,17.24,18.39,11.49,17.24,11.49,9.2,6.1092,2.065,nshape
E07000068,Brentwood,0,0,0,6.52,6.52,15.22,10.87,6.52,19.57,34.78,7.5217,2.0054,right
E07000069,Castle Point,1.75,7.02,5.26,8.77,19.3,7.02,10.53,19.3,15.79,5.26,5.7807,2.3961,nshape
E07000070,Chelmsford,0,0.93,7.48,4.67,7.48,8.41,14.95,14.95,16.82,24.3,6.9953,2.2461,right
E07000071,Colchester,0.95,9.52,5.71,9.52,12.38,16.19,13.33,9.52,15.24,7.62,5.6714,2.4316,nshape
E07000072,Epping Forest,0,1.28,6.41,12.82,16.67,10.26,8.97,21.79,10.26,11.54,6.1282,2.2045,right
E07000073,Harlow,0,1.85,22.22,27.78,25.93,3.7,5.56,7.41,5.56,0,4.3148,1.7812,nshape
E07000074,Maldon,0,0,5,5,15,17.5,20,22.5,5,10,6.3,1.8425,nshape
E07000075,Rochford,0,1.89,0,7.55,7.55,5.66,5.66,18.87,24.53,28.3,7.5,2.0755,right
E07000076,Tendring,17.98,12.36,12.36,21.35,12.36,13.48,5.62,3.37,1.12,0,3.3427,2.061,left
E07000077,Uttlesford,0,0,0,0,2.17,10.87,19.57,21.74,28.26,17.39,7.6522,1.3494,right
E07000078,Cheltenham,2.67,8,8,8,4,8,6.67,8,18.67,28,6.5133,2.9431,right
E07000079,Cotswold,0,0,0,3.92,3.92,19.61,17.65,21.57,17.65,15.69,7.1471,1.6349,right
E07000080,Forest of Dean,2,0,8,14,18,26,22,10,0,0,5.12,1.5765,nshape
E07000081,Gloucester,11.54,15.38,5.13,6.41,8.97,12.82,6.41,11.54,15.38,6.41,4.9487,2.9833,flat
E07000082,Stroud,0,0,4.35,2.9,5.8,8.7,18.84,13.04,24.64,21.74,7.3116,1.9348,right
E07000083,Tewkesbury,0,2,2,6,12,10,8,20,20,20,7,2.1405,right
E07000084,Basingstoke and Deane,0,0.92,7.34,10.09,7.34,7.34,11.01,14.68,16.51,24.77,6.8578,2.3747,right
E07000085,East Hampshire,0,0,1.39,6.94,2.78,8.33,12.5,18.06,29.17,20.83,7.4861,1.827,right
E07000086,Eastleigh,0,1.3,3.9,3.9,3.9,10.39,7.79,12.99,22.08,33.77,7.5649,2.1296,right
E07000087,Fareham,0,0,4.11,2.74,4.11,6.85,4.11,17.81,26.03,34.25,7.8288,1.9297,right
E07000088,Gosport,1.89,13.21,13.21,9.43,16.98,5.66,15.09,3.77,15.09,5.66,5.0283,2.6062,nshape
E07000089,Hart,0,0,0,0,0,5.26,1.75,8.77,17.54,66.67,8.886,1.0816,right
E07000090,Havant,7.69,21.79,5.13,5.13,7.69,10.26,8.97,12.82,12.82,7.69,4.9487,2.992,flat
E07000091,New Forest,0,2.63,3.51,6.14,11.4,14.04,11.4,18.42,12.28,20.18,6.7105,2.2041,right
E07000092,Rushmoor,0,5.17,10.34,8.62,13.79,6.9,17.24,6.9,17.24,13.79,6.0517,2.5003,right
E07000093,Test Valley,0,1.41,4.23,4.23,7.04,8.45,25.35,11.27,8.45,29.58,7.0775,2.1492,right
E07000094,Winchester,0,0,1.43,4.29,7.14,5.71,14.29,12.86,18.57,35.71,7.6857,1.9208,right
E07000095,Broxbourne,0,5.36,12.5,10.71,14.29,17.86,10.71,12.5,14.29,1.79,5.4107,2.1932,nshape
E07000096,Dacorum,0,3.19,3.19,10.64,10.64,11.7,11.7,8.51,14.89,25.53,6.7128,2.4091,right
E07000098,Hertsmere,1.61,0,6.45,8.06,14.52,12.9,12.9,11.29,12.9,19.35,6.4355,2.3461,right
E07000099,North Hertfordshire,0,2.44,3.66,4.88,7.32,15.85,8.54,13.41,17.07,26.83,7.061,2.2504,right
E07000102,Three Rivers,0,1.89,0,3.77,13.21,11.32,3.77,9.43,15.09,41.51,7.5566,2.205,right
E07000103,Watford,0,1.89,5.66,16.98,13.21,15.09,13.21,13.21,7.55,13.21,5.934,2.2318,nshape
E07000105,Ashford,1.28,11.54,5.13,10.26,17.95,15.38,12.82,11.54,12.82,1.28,5.2308,2.2716,nshape
E07000106,Canterbury,2.22,12.22,6.67,4.44,12.22,12.22,15.56,13.33,12.22,8.89,5.6333,2.5843,flat
E07000107,Dartford,1.72,10.34,5.17,13.79,17.24,13.79,12.07,6.9,12.07,6.9,5.2931,2.4334,nshape
E07000108,Dover,7.46,10.45,8.96,13.43,23.88,5.97,11.94,10.45,5.97,1.49,4.5,2.3484,nshape
E07000109,Gravesham,3.13,15.63,9.38,15.63,6.25,12.5,15.63,6.25,12.5,3.13,4.8438,2.5524,nshape
E07000110,Maidstone,2.11,4.21,8.42,8.42,15.79,13.68,10.53,9.47,9.47,17.89,5.9421,2.5546,right
E07000111,Sevenoaks,0,2.7,2.7,4.05,9.46,16.22,14.86,17.57,6.76,25.68,6.8649,2.1681,right
E07000112,Shepway,5.97,16.42,17.91,8.96,14.93,11.94,11.94,7.46,2.99,1.49,4.097,2.2966,nshape
E07000113,Swale,18.82,7.06,10.59,15.29,16.47,9.41,10.59,5.88,3.53,2.35,3.9118,2.4799,left
E07000114,Thanet,21.43,13.1,9.52,16.67,13.1,7.14,9.52,8.33,0,1.19,3.4643,2.3768,left
E07000115,Tonbridge and Malling,0,4.17,4.17,6.94,8.33,11.11,16.67,12.5,13.89,22.22,6.7083,2.3433,right
E07000116,Tunbridge Wells,0,1.47,1.47,5.88,5.88,16.18,14.71,11.76,19.12,23.53,7.1176,2.0518,right
E07000117,Burnley,38.33,13.33,13.33,8.33,5,5,6.67,8.33,1.67,0,2.7167,2.4913,left
E07000118,Chorley,4.55,7.58,7.58,10.61,6.06,6.06,10.61,16.67,19.7,10.61,5.9242,2.7738,right
E07000119,Fylde,3.92,3.92,3.92,9.8,11.76,11.76,19.61,9.8,15.69,9.8,5.9706,2.436,nshape
E07000120,Hyndburn,26.92,21.15,15.38,5.77,5.77,3.85,11.54,5.77,3.85,0,3.0192,2.5398,left
E07000121,Lancaster,14.61,8.99,12.36,7.87,7.87,13.48,14.61,8.99,5.62,5.62,4.5225,2.7633,flat
E07000122,Pendle,31.58,7.02,12.28,14.04,7.02,7.02,7.02,10.53,3.51,0,3.307,2.6216,left
E07000123,Preston,18.6,24.42,12.79,10.47,4.65,1.16,4.65,9.3,8.14,5.81,3.6628,2.9975,left
E07000124,Ribble Valley,0,0,0,2.5,7.5,15,12.5,12.5,30,20,7.45,1.7239,right
E07000125,Rossendale,13.95,9.3,23.26,11.63,9.3,6.98,9.3,4.65,6.98,4.65,3.9884,2.6759,left
E07000126,South Ribble,4.29,0,11.43,7.14,11.43,10,10,14.29,12.86,18.57,6.2,2.6284,right
E07000127,West Lancashire,8.22,10.96,4.11,6.85,8.22,10.96,9.59,10.96,16.44,13.7,5.6644,2.9722,flat
E07000128,Wyre,14.49,2.9,4.35,11.59,8.7,11.59,18.84,14.49,13.04,0,5.0797,2.6257,nshape
E07000129,Blaby,0,0,0,1.67,15,8.33,15,25,15,20,7.2167,1.7378,right
E07000130,Charnwood,2.02,2.02,7.07,4.04,6.06,11.11,16.16,16.16,16.16,19.19,6.702,2.3732,right
E07000131,Harborough,0,0,2.13,2.13,0,6.38,4.26,31.91,14.89,38.3,8.0532,1.6126,right
E07000132,Hinckley and Bosworth,0,1.52,7.58,6.06,15.15,4.55,15.15,15.15,19.7,15.15,6.5909,2.2717,right
E07000133,Melton,0,0,6.67,6.67,3.33,16.67,16.67,10,20,20,6.9,2.1592,right
E07000134,North West Leicestershire,3.45,0,3.45,13.79,8.62,6.9,20.69,18.97,15.52,8.62,6.2586,2.2502,right
E07000135,Oadby and Wigston,0,0,13.89,5.56,5.56,8.33,11.11,8.33,36.11,11.11,6.7222,2.3798,right
E07000136,Boston,2.78,8.33,27.78,19.44,5.56,13.89,8.33,11.11,2.78,0,4.1389,2.0997,nshape
E07000137,East Lindsey,16.05,19.75,16.05,17.28,6.17,6.17,9.88,3.7,4.94,0,3.3395,2.337,left
